timestamp,open,high,low,close,volume
2024-07-15,0.9996,0.9998,0.999,0.9994,1329393908.0
2024-07-16,0.9994,0.9997,0.9993,0.9995,1057334513.0
2024-07-17,0.9996,1.0,0.9993,0.9999,1164079683.0
2024-07-18,0.9999,1.0002,0.9998,1.0002,1008055742.0
2024-07-19,1.0001,1.0004,0.9992,0.9994,1261063420.0
2024-07-20,0.9994,0.9997,0.9993,0.9996,553671610.0
2024-07-21,0.9996,0.9999,0.9993,0.9998,678079415.0
2024-07-22,0.9998,1.0001,0.9995,0.9995,859559960.0
2024-07-23,0.9995,1.0001,0.9994,0.9997,1445921630.0
2024-07-24,0.9998,1.0001,0.9996,1.0,755117162.0
2024-07-25,1.0001,1.0004,0.9999,1.0001,899558614.0
2024-07-26,1.0001,1.0003,0.9999,1.0,883444364.0
2024-07-27,1.0,1.0001,0.9996,1.0,381233436.0
2024-07-28,0.9999,1.0001,0.9999,0.9999,179554551.0
2024-07-29,1.0,1.0003,0.9999,1.0,810815753.0
2024-07-30,1.0,1.0004,1.0,1.0003,688174226.0
2024-07-31,1.0002,1.0006,1.0,1.0003,785788621.0
2024-08-01,1.0003,1.0011,1.0002,1.0008,944834074.0
2024-08-02,1.0008,1.0012,1.0006,1.0011,968487519.0
2024-08-03,1.0012,1.0014,1.0005,1.0006,446166155.0
2024-08-04,1.0005,1.0009,1.0001,1.0003,609839403.0
2024-08-05,1.0003,1.001,0.999,0.9996,2777168386.0
2024-08-06,0.9997,0.9998,0.9991,0.9996,1505321537.0
2024-08-07,0.9995,0.9999,0.9993,0.9997,1162502800.0
2024-08-08,0.9998,0.9999,0.9993,0.9997,759618170.0
2024-08-09,0.9997,0.9999,0.9994,0.9995,566448444.0
2024-08-10,0.9996,0.9998,0.9995,0.9998,165321221.0
2024-08-11,0.9997,0.9999,0.9996,0.9998,330506412.0
2024-08-12,0.9999,1.0,0.9995,0.9997,988924490.0
2024-08-13,0.9998,0.9998,0.9995,0.9996,692354605.0
2024-08-14,0.9996,0.9999,0.9993,0.9998,1078169053.0
2024-08-15,0.9998,1.0001,0.9996,0.9997,1073227101.0
2024-08-16,0.9998,1.0,0.9994,0.9996,849666214.0
2024-08-17,0.9996,0.9999,0.9996,0.9998,162915482.0
2024-08-18,0.9998,1.0,0.9997,0.9999,213962266.0
2024-08-19,0.9999,0.9999,0.9995,0.9996,805428767.0
2024-08-20,0.9996,1.0,0.9993,0.9998,840308723.0
2024-08-21,0.9999,1.0,0.9995,0.9997,903094862.0
2024-08-22,0.9997,0.9998,0.9994,0.9998,654006382.0
2024-08-23,0.9998,1.0,0.9988,0.9992,1094215285.0
2024-08-24,0.9992,0.9995,0.999,0.9995,387995742.0
2024-08-25,0.9995,0.9996,0.9993,0.9994,264956764.0
2024-08-26,0.9995,0.9998,0.9994,0.9997,603209369.0
2024-08-27,0.9997,1.0001,0.9996,0.9996,783846520.0
2024-08-28,0.9997,1.0,0.9996,0.9998,926304881.0
2024-08-29,0.9997,0.9999,0.9996,0.9997,775612987.0
2024-08-30,0.9997,1.0002,0.9997,1.0001,731539593.0
2024-08-31,1.0001,1.0001,0.9999,1.0001,146193531.0
2024-09-01,1.0,1.0002,0.9999,0.9999,237273224.0
2024-09-02,0.9999,1.0002,0.9999,1.0,567483697.0
2024-09-03,1.0,1.0003,0.9999,1.0001,516775512.0
2024-09-04,1.0002,1.0002,0.9998,1.0,741798619.0
2024-09-05,1.0001,1.0003,0.9999,1.0003,587300917.0
2024-09-06,1.0002,1.001,1.0001,1.0002,1205811556.0
2024-09-07,1.0003,1.0003,1.0,1.0001,205091056.0
2024-09-08,1.0001,1.0002,0.9999,0.9999,252557683.0
2024-09-09,1.0,1.0002,0.9997,0.9997,846491241.0
2024-09-10,0.9997,1.0001,0.9997,0.9999,513681673.0
2024-09-11,1.0,1.0002,0.9997,0.9998,630629575.0
2024-09-12,0.9998,0.9999,0.9998,0.9998,56939647.0
