timestamp,open,high,low,close,volume
2024-08-04,0.611,0.629,0.563,0.577,1433658.86
2024-08-05,0.577,0.581,0.462,0.534,7139461.7723
2024-08-06,0.536,0.615,0.536,0.6,1444325.78852593
2024-08-07,0.6,0.649,0.591,0.616,3102800.15
2024-08-08,0.616,0.862,0.601,0.852,3717944.64
2024-08-09,0.853,0.879,0.825,0.854,2487019.85
2024-08-10,0.856,0.959,0.849,0.919,3969151.33677193
2024-08-11,0.921,0.986,0.818,0.874,6007278.88621953
2024-08-12,0.874,1.117,0.874,1.014,11383588.99274642
2024-08-13,1.015,1.035,0.932,0.956,4633507.98769348
2024-08-14,0.956,0.972,0.886,0.934,2809404.6
2024-08-15,0.935,0.939,0.823,0.844,3294687.41970753
2024-08-16,0.845,0.884,0.806,0.812,2571146.09557067
2024-08-17,0.812,0.851,0.799,0.828,1584775.46548753
2024-08-18,0.829,0.857,0.818,0.825,1823584.7
2024-08-19,0.825,0.917,0.81,0.9,2645849.20242229
2024-08-20,0.9,0.93,0.867,0.871,2390918.58566322
2024-08-21,0.873,0.883,0.833,0.85,2607694.34
2024-08-22,0.849,0.865,0.833,0.852,1432343.68925334
2024-08-23,0.852,1.036,0.852,1.016,5294683.39
2024-08-24,1.017,1.056,0.985,1.018,2296759.78096321
2024-08-25,1.018,1.022,0.958,0.999,1519257.68089286
2024-08-26,1.001,1.014,0.927,0.927,2263269.16176302
2024-08-27,0.931,0.977,0.833,0.848,3618260.34
2024-08-28,0.847,0.851,0.764,0.809,3529714.34
2024-08-29,0.809,0.855,0.793,0.804,1997721.99679647
2024-08-30,0.803,0.838,0.766,0.831,2408482.73
2024-08-31,0.832,0.835,0.785,0.795,1730154.11
2024-09-01,0.795,0.812,0.756,0.761,1056075.55
2024-09-02,0.76,0.799,0.742,0.787,2872606.24
2024-09-03,0.785,0.837,0.78,0.785,2450155.52
2024-09-04,0.786,0.833,0.749,0.81,3354084.07
2024-09-05,0.81,0.84,0.78,0.798,2524614.28
2024-09-06,0.797,0.887,0.789,0.838,5435370.93098325
2024-09-07,0.837,0.918,0.829,0.892,4598353.77767696
2024-09-08,0.892,0.986,0.884,0.939,4855758.21781838
2024-09-09,0.94,0.974,0.895,0.958,3051726.97671207
2024-09-10,0.957,0.971,0.907,0.919,2338392.45880061
2024-09-11,0.918,0.934,0.866,0.931,5334501.46143831
2024-09-12,0.93,1.071,0.928,1.04,5875386.00555793
2024-09-13,1.04,1.048,0.993,1.028,2809066.10355292
2024-09-14,1.026,1.068,1.004,1.045,2579629.60979424
2024-09-15,1.045,1.14,1.041,1.079,5649819.60336858
2024-09-16,1.078,1.128,1.024,1.042,5399185.66
2024-09-17,1.042,1.19,1.019,1.169,7503996.27221539
2024-09-18,1.17,1.318,1.143,1.315,8461479.53925057
2024-09-19,1.315,1.41,1.308,1.38,8130128.69895205
2024-09-20,1.38,1.576,1.35,1.47,8380016.48636271
2024-09-21,1.47,1.512,1.434,1.482,4226669.95114309
2024-09-22,1.482,1.633,1.423,1.584,8571118.13080606
2024-09-23,1.586,1.647,1.509,1.536,5360444.9237943
2024-09-24,1.536,1.793,1.496,1.742,8286305.51812965
2024-09-25,1.744,1.774,1.669,1.699,4797467.03908922
2024-09-26,1.698,1.756,1.602,1.64,6794318.99344599
2024-09-27,1.639,1.733,1.614,1.657,5237970.38591703
2024-09-28,1.657,1.692,1.606,1.687,2399221.6293314
2024-09-29,1.688,1.847,1.628,1.758,5860747.8013076
2024-09-30,1.759,1.839,1.702,1.775,5553716.4116325
2024-10-01,1.775,1.933,1.655,1.758,12832675.30930289
2024-10-02,1.758,1.943,1.74,1.86,6489022.96168303
