timestamp,open,high,low,close,volume
2024-07-20,4.653,4.784,4.572,4.711,4308875.56
2024-07-21,4.711,4.801,4.493,4.777,3905922.11
2024-07-22,4.777,4.822,4.481,4.509,4330053.77
2024-07-23,4.509,4.603,4.334,4.455,4056304.67
2024-07-24,4.455,4.55,4.211,4.269,3164956.38
2024-07-25,4.268,4.289,4.037,4.199,4789833.42
2024-07-26,4.199,4.712,4.186,4.642,8957206.26
2024-07-27,4.643,4.67,4.516,4.575,7078140.96
2024-07-28,4.574,4.645,4.396,4.446,3606257.32
2024-07-29,4.446,4.647,4.404,4.44,3996201.97
2024-07-30,4.44,4.535,4.235,4.333,2849127.33
2024-07-31,4.333,4.378,4.169,4.208,2967106.53
2024-08-01,4.207,4.299,3.876,4.164,6603780.9
2024-08-02,4.164,4.197,3.822,3.872,5631083.84
2024-08-03,3.871,3.955,3.593,3.688,4883304.58
2024-08-04,3.688,3.774,3.373,3.531,5950982.72
2024-08-05,3.53,3.567,2.866,3.237,28212562.71
2024-08-06,3.236,3.589,3.231,3.497,6882848.17
2024-08-07,3.497,3.565,3.317,3.353,5106106.24
2024-08-08,3.354,3.834,3.3,3.832,6528345.9
2024-08-09,3.831,3.86,3.693,3.766,3235673.77
2024-08-10,3.765,3.822,3.728,3.778,1663608.5
2024-08-11,3.779,3.85,3.449,3.49,3468317.03
2024-08-12,3.49,3.794,3.471,3.736,4387789.83
2024-08-13,3.734,3.773,3.592,3.706,3777476.2
2024-08-14,3.706,3.731,3.535,3.582,3574410.59
2024-08-15,3.583,3.678,3.43,3.503,4228015.15
2024-08-16,3.503,3.582,3.408,3.5,3354683.73
2024-08-17,3.5,3.585,3.485,3.569,1605235.75
2024-08-18,3.569,3.629,3.51,3.548,1892386.48
2024-08-19,3.547,3.636,3.529,3.624,2785552.14
2024-08-20,3.624,3.705,3.551,3.652,2987999.44
2024-08-21,3.651,3.838,3.607,3.796,4160107.25
2024-08-22,3.796,3.954,3.759,3.948,4428205.68
2024-08-23,3.948,4.292,3.943,4.225,5822929.48
2024-08-24,4.226,4.337,4.169,4.243,4814060.93
2024-08-25,4.243,4.263,4.056,4.159,4126753.89
2024-08-26,4.159,4.192,3.884,3.928,5240282.36
2024-08-27,3.928,4.049,3.65,3.72,5912778.71
2024-08-28,3.719,3.828,3.553,3.645,6127636.07
2024-08-29,3.645,3.8,3.591,3.644,2912399.67
2024-08-30,3.643,3.712,3.456,3.64,4042623.86
2024-08-31,3.64,3.671,3.533,3.57,1588285.18
2024-09-01,3.569,3.582,3.307,3.36,5782168.14
2024-09-02,3.36,3.524,3.314,3.491,5448557.67
2024-09-03,3.49,3.557,3.343,3.354,3325381.58
2024-09-04,3.355,3.469,3.166,3.393,6323011.97
2024-09-05,3.393,3.428,3.313,3.359,3030032.38
2024-09-06,3.358,3.417,3.144,3.274,7317276.93
2024-09-07,3.273,3.374,3.27,3.35,2324807.0
2024-09-08,3.349,3.443,3.319,3.408,2477317.34
2024-09-09,3.407,3.676,3.369,3.601,7303023.53
2024-09-10,3.601,3.693,3.54,3.658,3217967.07
2024-09-11,3.659,3.666,3.485,3.601,4767634.07
2024-09-12,3.6,3.683,3.577,3.657,3329963.52
2024-09-13,3.657,3.77,3.622,3.725,5025812.46
2024-09-14,3.726,3.745,3.637,3.66,2355993.52
2024-09-15,3.661,3.685,3.411,3.447,3535130.73
2024-09-16,3.449,3.479,3.36,3.414,3592284.89
2024-09-17,3.414,3.495,3.385,3.475,1618479.35
