timestamp,open,high,low,close,volume
2024-07-24,2.555,2.683,2.452,2.498,51546825.26
2024-07-25,2.498,2.579,2.32,2.515,69846712.8
2024-07-26,2.515,2.676,2.503,2.667,40325766.7
2024-07-27,2.666,2.704,2.41,2.485,47303501.88
2024-07-28,2.485,2.508,2.382,2.412,22912718.57
2024-07-29,2.412,2.568,2.28,2.283,54291477.3
2024-07-30,2.283,2.39,2.25,2.288,36527062.34
2024-07-31,2.288,2.354,2.143,2.177,39755936.04
2024-08-01,2.178,2.194,1.821,1.962,123740175.16
2024-08-02,1.962,1.998,1.644,1.664,103642152.92
2024-08-03,1.664,1.737,1.537,1.597,100612538.93
2024-08-04,1.597,1.635,1.351,1.44,129915870.88
2024-08-05,1.439,1.47,1.07,1.262,384779854.53
2024-08-06,1.262,1.475,1.257,1.416,135329996.31
2024-08-07,1.416,1.777,1.369,1.607,224818608.61
2024-08-08,1.606,1.947,1.549,1.911,173065849.48
2024-08-09,1.912,1.957,1.745,1.82,100732420.64
2024-08-10,1.819,1.861,1.763,1.815,42757503.19
2024-08-11,1.816,1.893,1.623,1.629,80223833.74
2024-08-12,1.629,1.821,1.623,1.725,106574853.42
2024-08-13,1.726,1.75,1.643,1.701,64333408.7
2024-08-14,1.702,1.75,1.561,1.575,75999537.67
2024-08-15,1.575,1.605,1.426,1.477,93189885.73
2024-08-16,1.476,1.505,1.34,1.393,84715674.26
2024-08-17,1.392,1.461,1.361,1.42,58678277.67
2024-08-18,1.421,1.479,1.386,1.391,60227139.42
2024-08-19,1.392,1.444,1.325,1.436,72472643.52
2024-08-20,1.435,1.622,1.414,1.555,118326686.91
2024-08-21,1.554,1.61,1.469,1.561,70371655.81
2024-08-22,1.561,1.66,1.527,1.62,63057501.2
2024-08-23,1.62,1.889,1.591,1.843,125089586.83
2024-08-24,1.843,2.035,1.786,1.968,101999443.55
2024-08-25,1.969,1.971,1.844,1.905,69285850.29
2024-08-26,1.905,1.948,1.764,1.769,87527665.68
2024-08-27,1.768,1.824,1.549,1.572,104610208.62
2024-08-28,1.573,1.659,1.48,1.585,130727577.47
2024-08-29,1.585,1.691,1.522,1.539,82018777.1
2024-08-30,1.539,1.577,1.438,1.545,76085876.87
2024-08-31,1.545,1.579,1.501,1.517,24384576.16
2024-09-01,1.517,1.53,1.38,1.396,54686519.91
2024-09-02,1.396,1.56,1.384,1.541,70359697.91
2024-09-03,1.54,1.639,1.487,1.492,98821208.32
2024-09-04,1.492,1.648,1.419,1.641,107846928.35
2024-09-05,1.64,1.641,1.502,1.532,71296950.47
2024-09-06,1.533,1.607,1.4,1.488,111359114.21
2024-09-07,1.489,1.536,1.461,1.479,43208224.07
2024-09-08,1.48,1.593,1.47,1.571,49824653.86
2024-09-09,1.571,1.77,1.512,1.671,102883102.2
2024-09-10,1.671,1.72,1.617,1.647,49336684.3
2024-09-11,1.647,1.651,1.497,1.542,87983889.66
2024-09-12,1.541,1.599,1.515,1.56,55944224.47
2024-09-13,1.56,1.665,1.503,1.635,62990314.15
2024-09-14,1.636,1.646,1.544,1.567,34600798.07
2024-09-15,1.567,1.597,1.483,1.502,36572683.39
2024-09-16,1.502,1.521,1.451,1.51,43356418.47
2024-09-17,1.509,1.582,1.49,1.536,48597294.94
2024-09-18,1.537,1.626,1.444,1.618,71323846.25
2024-09-19,1.618,1.82,1.591,1.774,102600018.97
2024-09-20,1.775,1.905,1.726,1.78,83895817.49
2024-09-21,1.78,1.785,1.665,1.751,32002859.53
