id,name,symbol,num_market_pairs,infinite_supply,cmc_rank,last_updated,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,quote_last_updated
24478,Pepe,PEPE,437,False,25,2024-09-05T05:19:00.000Z,7.218599090594888e-06,468769776.7847831,17.5875,-0.16278433,1.11960821,-6.849853,-9.33983695,-22.26460294,-49.94128445,3036791729.562417,0.1517,3036792451.42,2024-09-05T05:19:00.000Z
21794,Aptos,APT,417,True,26,2024-09-05T05:19:00.000Z,5.934345427901545,80725828.41103162,-19.9105,-0.18258679,-2.93702386,-10.85160299,14.77625477,1.175527,-35.25939416,2886683091.5761933,0.1443,6613161705.84,2024-09-05T05:19:00.000Z
3773,Artificial Superintelligence Alliance,FET,369,False,27,2024-09-05T05:19:00.000Z,1.1171989742263473,181215309.43448785,1.8492,-0.52274949,0.29150554,-4.39532686,28.80173559,-8.84677393,-45.43114353,2815341415.050395,0.1406,2938844567.58,2024-09-05T05:19:00.000Z
512,Stellar,XLM,613,False,28,2024-09-05T05:20:00.000Z,0.0909890402386901,43200475.57234698,-10.6857,0.02298569,0.5070731,-2.12513741,0.7232164,1.64404459,-14.30490429,2687603795.149405,0.1343,4549616412.02,2024-09-05T05:20:00.000Z
1321,Ethereum Classic,ETC,554,False,29,2024-09-05T05:19:00.000Z,17.925414585078517,83430578.72043125,-9.1166,-0.04403682,1.55991501,-3.79554277,-1.33146582,-13.97062346,-38.50964647,2663940593.1320133,0.1331,3776884853.08,2024-09-05T05:19:00.000Z
26081,First Digital USD,FDUSD,349,False,30,2024-09-05T05:19:00.000Z,0.9987375664016364,4290970280.899547,0.4395,-0.02073308,0.02054837,-0.00542146,-0.08089163,-0.1783275,-0.25198021,2606877378.6276894,0.1303,2606877378.63,2024-09-05T05:19:00.000Z
3897,OKB,OKB,128,False,31,2024-09-05T05:19:00.000Z,36.699342202797176,2453534.48324399,-6.2425,0.09314888,2.60685064,-0.94713811,7.48008435,-1.80403371,-25.21635402,2201960532.1678305,0.1101,11009802660.84,2024-09-05T05:19:00.000Z
20947,Sui,SUI,311,False,32,2024-09-05T05:20:00.000Z,0.8068859941453633,232744332.0323425,-14.3314,0.47482638,0.61424541,-1.40051092,41.29851465,18.22846691,-30.45827003,2162425214.3968754,0.1081,8068859941.45,2024-09-05T05:20:00.000Z
4847,Stacks,STX,193,False,33,2024-09-05T05:19:00.000Z,1.4397901502133883,50665129.22745369,-24.2271,0.21352737,1.35918759,-10.30901599,9.27648249,1.06151879,-39.05352282,2137814430.8581667,0.1068,2617538493.09,2024-09-05T05:19:00.000Z
3635,Cronos,CRO,247,False,34,2024-09-05T05:20:00.000Z,0.077736739122791,5691334.26118581,-4.124,-0.02375849,-0.14650014,-4.67079494,-0.31367729,-9.93278779,-31.89591987,2065586481.9103608,0.1032,2332102173.68,2024-09-05T05:20:00.000Z
7278,Aave,AAVE,929,False,35,2024-09-05T05:19:00.000Z,132.16783386307716,512054910.7913603,57.9352,0.14568542,7.97334568,7.89255325,30.22883081,61.90656883,28.24814601,1973083341.153221,0.0987,2114685341.81,2024-09-05T05:19:00.000Z
2280,Filecoin,FIL,514,False,36,2024-09-05T05:20:00.000Z,3.347771404739931,83324184.83137898,-15.2345,0.05582411,-0.32256893,-9.52016064,-1.93338004,-13.68899341,-43.70851069,1952748990.875245,0.0975,6561588080.75,2024-09-05T05:20:00.000Z
5690,Render,RENDER,464,False,37,2024-09-05T05:19:00.000Z,4.863696284419807,52385132.35853208,-9.2058,0.21689334,1.70706325,-13.64955679,5.79384714,-28.76096246,-53.31200466,1908808828.621497,0.0953,2588560350.48,2024-09-05T05:19:00.000Z
10603,Immutable,IMX,306,False,38,2024-09-05T05:20:00.000Z,1.1942250824377527,46800374.22578932,20.8242,-0.00300776,0.54279702,-18.32945254,6.79171526,-6.90501298,-46.82307493,1878306847.2074945,0.0939,2388450164.88,2024-09-05T05:20:00.000Z
27075,Mantle,MNT,90,False,39,2024-09-05T05:20:00.000Z,0.5671049636097825,86112594.20364055,1.8852,0.10405835,-0.03531259,-5.38162616,-6.81994791,-13.33128141,-44.51711817,1852642147.841731,0.0926,3527005424.71,2024-09-05T05:20:00.000Z
22974,Bittensor,TAO,86,False,40,2024-09-05T05:20:00.000Z,252.03459133409493,58235791.8283463,-5.1122,0.0641885,0.02352625,-14.34511962,0.31582049,11.91612915,-40.63336189,1849082275.508139,0.0925,5292726418.02,2024-09-05T05:20:00.000Z
