,name,symbol,cmc_rank,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,market_cap,market_cap_dominance,quote_last_updated
0,Bitcoin,BTC,1,57196.25562916531,31706940051.04022,2.1471,-0.01460436,1.23484653,-3.59305324,1129615124191.1897,56.42,2024-09-05T05:21:00.000Z
1,Ethereum,ETH,2,2408.448374823623,14083401652.078005,-3.2577,-0.21253524,1.38881647,-4.97801147,289772765625.9695,14.4754,2024-09-05T05:20:00.000Z
4,Solana,SOL,5,132.6706455860694,2191156959.215999,0.5898,0.3051534,4.20834422,-7.73557068,61937286954.90511,3.0935,2024-09-05T05:19:00.000Z
48,Maker,MKR,49,1657.3846571807085,46581213.61925491,-25.217,-0.19434171,0.57083643,-8.42137176,1542444360.5367846,0.0771,2024-09-05T05:19:00.000Z
